model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name,value2,unit2
gemini,gemini-1.5-pro,20,C-010,Design Specification,Scour and cable protection materials must consist of natural or engineered stone.,,,5.7.4,Lease Area,"The Lessee must ensure that all materials used for scour and cable protection measures consist of natural or engineered stone that does not inhibit epibenthic growth and provides three- dimensional complexity in height and in interstitial spaces, as technically and/or economically feasible or practicable.",Scour Protection,,
gemini,gemini-1.5-pro,20,C-011,Design Specification,Cable protection measures should have tapered or sloped edges.,,,5.7.4,Lease Area,Cable protection measures should have tapered or sloped edges to reduce hangs for mobile fishing gear.,Cable Protection,,
gemini,gemini-1.5-pro,20,C-012,Operational Parameter,Bubble curtains must be used during pile driving.,,,5.12.3,Around each foundation pile,The Lessee must use a bubble curtain during all impact pile driving activities.,Bubble Curtain,,
gemini,gemini-1.5-pro,20,C-013,Safety Standard,"Minimum of four visual PSOs must be actively observing for marine mammals and sea turtles before, during, and after pile driving.",4.0,PSOs,5.12.4,Around each foundation pile,"At minimum, four visual PSOs must be actively observing for marine mammals and sea turtles before, during, and after pile driving.",Project Vessels,,
gemini,gemini-1.5-pro,20,C-014,Safety Standard,At least two visual PSOs must be stationed on the pile driving vessel.,2.0,PSOs,5.12.4,On pile driving vessel,"At least two visual PSOs must be stationed on the pile driving vessel and at least two visual PSOs must be stationed on a secondary, PSO-dedicated vessel.",Project Vessels,,
gemini,gemini-1.5-pro,20,C-015,Safety Standard,"At least two visual PSOs must be stationed on a secondary, PSO-dedicated vessel positioned approximately 3 km from the pile being driven.",2.0,PSOs,5.12.4,On PSO-dedicated vessel approximately 3 km from pile being driven,"At least two visual PSOs must be stationed on a secondary, PSO-dedicated vessel. The dedicated PSO vessel must be positioned approximately 3 km from the pile being driven and circle the pile at a speed of less than 10 kts.",Project Vessels,,
gemini,gemini-1.5-pro,20,C-016,Safety Standard,The dedicated PSO vessel must circle the pile at a speed of less than 10 kts.,10.0,kts,5.12.4,Around each foundation pile,The dedicated PSO vessel must be positioned approximately 3 km from the pile being driven and circle the pile at a speed of less than 10 kts.,Project Vessels,,
gemini,gemini-1.5-pro,20,C-017,Safety Standard,Clearance and shutdown zones must be used during pile driving activities.,,,5.12.5,Around each foundation pile,"The Lessee must use visual PSOs and PAM operators to monitor the area around each foundation pile before, during, and after pile driving. The clearance and shutdown zones are defined below.",Foundations,,
gemini,gemini-1.5-pro,20,C-018,Design Specification,"WTG locations, OSS locations, inter-array, and export cable routes will be microsited to avoid or minimize impacts to steep slopes with gradients greater than or equal to 10 degrees, complex habitat, boulders greater than or equal to 0.5 meters in diameter and confirmed MEC/UXO.",10.0,degrees,5.7.3,Lease Area,"The Lessee must prepare and implement a Micrositing Plan that describes how WTG locations, OSS locations, inter-array, and export cable routes will be microsited to avoid or minimize impacts to steep slopes with gradients greater than or equal to 10 degrees, complex habitat, boulders greater than or equal to 0.5 meters in diameter and confirmed MEC/UXO.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,20,C-019,Design Specification,The Lessee must not microsite structure locations in a way that narrows any WTG corridors to less than the distance required by Section 3.1.3.,,,5.7.3,WTG corridors,The Lessee must not microsite structure locations in a way that narrows any WTG corridors to less than the distance required by Section 3.1.3.,Wind Turbine Generators,,
gemini,gemini-1.5-pro,20,C-020,Safety Standard,Clearance and shutdown zones must be established and monitored during HRG surveys.,,,5.13.2,Around the acoustic source,PSOs must establish and monitor the clearance and shutdown zones described below. These zones must be based on the radial distance from the acoustic source and not from the vessel.,Project Vessels,,
gemini,gemini-1.5-pro,21,C-001,Design Specification,No surface occupancy in the northernmost portion of the project area (approximately six WTG locations).,,,Table 3 - 1,Northernmost portion of the project area,Under Alternative C…no surface occupancy would occur in the northernmost portion of the proposed Project area…This alternative would result in the exclusion of approximately six of the northernmost WTG locations.,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-002,Design Specification,Minimum 1 nautical mile spacing between WTGs.,1.0,nmi,Table 3 - 1,Project Area,"Under Alternative D1, WTGs would have a minimum spacing of 1 nmi between them, and the lanes between turbines would also be a minimum of 1 nmi…",Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-003,Design Specification,East-west orientation with 1 nautical mile minimum spacing.,1.0,nmi,Table 3 - 1,Project Area,"Under Alternative D2, the wind turbine layout would be arranged in an east-west orientation and all WTGs in the east-west direction would have a minimum spacing of 1 nmi between them…",Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-004,Design Specification,No more than 84 WTGs.,84.0,WTGs,Table 3 - 1,Project Area,Under Alternative E…the proposed Project would consist of no more than 84 WTGs…,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-005,Design Specification,No surface occupancy within vessel transit lane.,,,Table 3 - 1,Vessel transit lane through the WDA,"Under Alternative F, a vessel transit lane through the WDA would be established in which no surface occupancy would occur.",Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-006,Environmental Mitigation,Non-HDD cable laying in Nantucket Sound outside April to June.,,,Measure 11,Northern part of the offshore export cable area within Nantucket Sound waters,The non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,Export Cables,,
gemini,gemini-1.5-pro,21,C-007,Environmental Mitigation,Cable protection in hard bottom must be natural or engineered stone.,,,Measure 14,Complex hard-bottom habitat,Cable protection measures within complex hard-bottom habitat…will consist of natural or engineered stone…,Export Cables,,
gemini,gemini-1.5-pro,21,C-008,Environmental Mitigation,Cable protection in Nantucket waters must be natural materials.,,,Measure 14,Town of Nantucket waters,"Additionally, per the Nantucket Order of Conditions…cable protection, where required in Town of Nantucket waters, must consist of natural materials that mimic the surrounding seafloor.",Export Cables,,
gemini,gemini-1.5-pro,21,C-009,Environmental Mitigation,Six northeastern turbine placement locations removed.,6.0,,Measure 65,Northeastern portion of the WDA,Require Vineyard Wind to not place turbines within the area defined by the six northeastern most turbine locations in the proposed layout…,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-010,Design Specification,WTGs painted no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey.,,,Measure 66,Project Area,Require Vineyard Wind to paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey)…,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-011,Safety Standard,WTG rotors must have control mechanisms to shut down within an agreed upon time.,,,Measure 84,Project Area,Equip all WTG rotors (blade assemblies) with control mechanisms operable from the Vineyard Wind control centers…The control mechanisms shall enable control room operators to shut down the requested WTGs within an agreed upon time of notification between the USCG and Vineyard Wind.,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-012,Safety Standard,"Each WTG and ESP must be marked with PATONs, subject to USCG approval.",,,Measure 83,Project Area,"Each WTG and ESP will be marked with PATONs, subject to the approval of the Commander (dpw-1), First Coast Guard District.",Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-013,Safety Standard,"If ESPs include helicopter landing platforms, they must accommodate USCG HH60 helicopters.",,,Measure 93,Project Area,"If Vineyard Wind's ESPs include helicopter-landing platforms, those platforms will be designed and built to accommodate USCG HH60 rescue helicopters.",Electrical Service Platform,,
gemini,gemini-1.5-pro,21,C-014,Operational Parameter,No pile-driving from December 1 to April 30 (with exceptions).,,,Measure 29,Project Area,No pile-driving activities may occur from December 1 to April 30 of any year.,Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-015,Environmental Mitigation,Export cable conduits installation not initiated between April 1 and August 31.,,,Measure 3,Project Area,Installation of export cable conduits is not expected to be initiated between April 1 and August 31.,Export Cables,,
gemini,gemini-1.5-pro,21,C-016,Environmental Mitigation,Trees greater than 3 inches diameter at breast height not cleared from June 1 to July 31.,3.0,inches,Measure 10,,Require that trees greater than 3 inches (7.6 centimeters) diameter at breast height not be cleared from June 1 to July 31.,,,
gemini,gemini-1.5-pro,21,C-017,Environmental Mitigation,500-meter clearance and shutdown zone for pile-driving for North Atlantic right whales.,500.0,meters,Measure 36,1000m from pile,"For all pile-driving activities, any large whale that cannot be identified to species by a PSO must be treated as a NARW if it is visually sighted within 1,000 m of the pile for clearance and shutdown purposes any time of the year.",Monopile Foundation,,
gemini,gemini-1.5-pro,21,C-018,Environmental Mitigation,Vessel speed 10 knots or less from November 1 through May 14 within the WDA (with exceptions).,10.0,knots,Measure 53,WDA (excluding Nantucket Sound unless an active DMA is in place),"From November 1 through May 14, all vessels must travel at 10 knots or less when transiting to, from. or within the WDA, except within Nantucket Sound (unless an active DMA is in place) and except crew transfer vessels as described below.",Jacket Foundation,,
gemini,gemini-1.5-pro,21,C-019,Safety Standard,Vessels 65 feet or greater must comply with 10-knot speed restriction in SMAs.,65.0,feet,Measure 55,SMAs,All vessels greater than or equal to 65 feet (19.8 meter) in overall length must comply with the 10-knot speed restriction in any SMA…,,,
gemini,gemini-1.5-pro,21,C-020,Operational Parameter,Initial inter-array and export cable inspection within 6 months of commissioning.,6.0,months,Measure 18,Inter-array and export cable,"In federal waters, the initial inter-array and export cable inspection will be carried out within 6 months of commissioning…",Inter-array cable,,
gemini,gemini-1.5-pro,21,C-021,Environmental Mitigation,1640-foot clearance and shutdown zone for pile-driving for sea turtles.,1640.0,feet,Measure 34,500-meter radius around pile-driving activities,"PSOs will establish a 1,640.4-foot (500-meter) clearance and shutdown zone for all pile-driving activities.",Wind Turbine Generator,,
gemini,gemini-1.5-pro,21,C-022,Environmental Mitigation,Vessels must maintain 328-foot separation distance from sea turtles.,328.0,feet,Measure 51,Project Area,All vessels must maintain a minimum separation distance of 328 feet (100 meters) from sea turtles whenever possible.,,,
gemini,gemini-1.5-pro,21,C-023,Environmental Mitigation,Vessels must avoid transiting through jellyfish aggregations or floating vegetation from June 1 to November 30.,,,Measure 51,Project Area,"Between June 1 and November 30, vessels must avoid transiting through areas of visible jellyfish aggregations or floating vegetation lines or mats.",,,
gemini,gemini-1.5-pro,22,C-001,Design Specification,Maximum of 98 WTGs,98.0,WTGs,3.1,Lease Area OCS-A 0498,consisting of up to 98 WTGs,Wind Turbine Generators,,
gemini,gemini-1.5-pro,22,C-002,Design Specification,Maximum of three OSSs,3.0,OSSs,3.1,Lease Area OCS-A 0498,up to three alternating-current OSSs,Offshore Substations,,
gemini,gemini-1.5-pro,22,C-003,Environmental Mitigation,Minimum 0.81-nm buffer between WTGs in Ocean Wind 1 and WTGs in Atlantic Shores South,0.81,nm,After carefully considering the Final EIS alternatives,Between Lease Area OCS-A 0498 and Lease Area OCS-A 0499,The selected alternative will provide a minimum 0.81-nm buffer between the WTGs in Ocean Wind 1 and the WTGs in Atlantic Shores South (Lease Area OCS-A 0499),Wind Turbine Generators,,
gemini,gemini-1.5-pro,22,C-004,Environmental Mitigation,Oyster Creek export cable route must minimize impacts on submerged aquatic vegetation in Barnegat Bay,,,After carefully considering the Final EIS alternatives,"Oyster Creek export cable route, Barnegat Bay","By selecting the Preferred Alternative, Ocean Wind LLC must develop the Oyster Creek export cable route in accordance with Alternative E to minimize impacts on SAV in Barnegat Bay.",Offshore Export Cables,,
gemini,gemini-1.5-pro,22,C-005,Safety Standard,WTG platform design for 50-year windstorm event should be inspected after a 25-year windstorm event.,,,2.17,WTG platforms,"For example, the WTG platform design for 50-year windstorm event should be inspected after a 25-year wind storm event.",WTG platform,,
gemini,gemini-1.5-pro,22,C-006,Operational Parameter,Mitigate unacceptable interference with IOOS HF-radar before rotor blades are installed and throughout operations and decommissioning until all rotor blades are removed.,,,2.18,Project Area,"Interference must be mitigated before rotor blades are installed within the Project, and inference mitigation must continue throughout operations and decommissioning until the point of decommissioning where all rotor blades are removed.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,22,C-007,Operational Parameter,Submit documentation demonstrating how interference with IOOS HF-radar will be mitigated at least 60 days before commissioning the first WTG.,60.0,days,2.18.2,Project Area,"at least 60 days before commissioning the first WTG, the Lessee must submit to BOEM documentation demonstrating how it will mitigate interference with IOOS HF-radar",Wind Turbine Generators,,
gemini,gemini-1.5-pro,23,C-001,Design Specification,Phase 1 will have 41 to 62 WTGs.,,,Appendix B,Phase 1 Lease Area,"Phase 1, which is also known as the Park City Wind Project, would be developed immediately southwest of Vineyard Wind 1 in Lease Area OCS-A 0534. Phase 1 would have a total generating capacity of up to 804 MW and consist of 41 to 62 Wind Turbine Generators (WTGs) and 2 Electrical Service Platforms (ESPs) and a maximum of 2 offshore export cables.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,23,C-002,Design Specification,Phase 2 will have up to 88 WTGs.,,,Appendix B,Phase 2 Lease Area,"Phase 2, which is also known as the Commonwealth Wind Project, would be developed immediately southwest of Phase 1 in the portion of Lease Area OCS-A 0534 that is not developed as part of Phase 1. Phase 2 would deliver at least 1,232 MW of power and consist of up to 88 WTGs and 3 ESPs and a maximum of 3 offshore export cables.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,23,C-003,Design Specification,Phase 1 will have 2 ESPs.,2.0,,Appendix B,Phase 1 Lease Area,"Phase 1, which is also known as the Park City Wind Project, would be developed immediately southwest of Vineyard Wind 1 in Lease Area OCS-A 0534. Phase 1 would have a total generating capacity of up to 804 MW and consist of 41 to 62 Wind Turbine Generators (WTGs) and 2 Electrical Service Platforms (ESPs) and a maximum of 2 offshore export cables.",Electrical Service Platforms,,
gemini,gemini-1.5-pro,23,C-004,Design Specification,Phase 2 will have 3 ESPs.,3.0,,Appendix B,Phase 2 Lease Area,"Phase 2, which is also known as the Commonwealth Wind Project, would be developed immediately southwest of Phase 1 in the portion of Lease Area OCS-A 0534 that is not developed as part of Phase 1. Phase 2 would deliver at least 1,232 MW of power and consist of up to 88 WTGs and 3 ESPs and a maximum of 3 offshore export cables.",Electrical Service Platforms,,
gemini,gemini-1.5-pro,23,C-005,Design Specification,Phase 1 will have a maximum of 2 export cables.,2.0,,Appendix B,Phase 1 Lease Area,"Phase 1, which is also known as the Park City Wind Project, would be developed immediately southwest of Vineyard Wind 1 in Lease Area OCS-A 0534. Phase 1 would have a total generating capacity of up to 804 MW and consist of 41 to 62 Wind Turbine Generators (WTGs) and 2 Electrical Service Platforms (ESPs) and a maximum of 2 offshore export cables.",Export Cables,,
gemini,gemini-1.5-pro,23,C-006,Design Specification,Phase 2 will have a maximum of 3 export cables.,3.0,,Appendix B,Phase 2 Lease Area,"Phase 2, which is also known as the Commonwealth Wind Project, would be developed immediately southwest of Phase 1 in the portion of Lease Area OCS-A 0534 that is not developed as part of Phase 1. Phase 2 would deliver at least 1,232 MW of power and consist of up to 88 WTGs and 3 ESPs and a maximum of 3 offshore export cables.",Export Cables,,
gemini,gemini-1.5-pro,23,C-007,Design Specification,The project will have up to 132 foundations.,132.0,,Appendix B,SWDA,"In total, both phases combined would include up to 132 total foundations for 125 to 129 WTGs and 1 to 5 ESPs to be installed in 130 positions",Foundations,,
gemini,gemini-1.5-pro,23,C-008,Design Specification,WTG micrositing may occur within 500 feet from each proposed WTG location.,500.0,feet,Appendix B,SWDA,"In accordance with 30 CFR § 585.634(c)(6), micrositing of WTG foundations may occur within 500 feet from each proposed WTG location.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,23,C-009,Design Specification,"Up to three new or upgraded substations will be installed in Barnstable County, Massachusetts.",3.0,,Appendix B,"Barnstable County, Massachusetts","Onshore electrical cables, grid interconnection cables, and up to three new or upgraded substations would be installed in Barnstable County, Massachusetts.",Substations,,
gemini,gemini-1.5-pro,23,C-010,Operational Parameter,Vessel operators must reduce speed to 10 knots or less while operating in any Seasonal Management Area (SMA) and Dynamic Management Area (DMA) or Slow Zone for North Atlantic right whales.,10.0,knots,5.11.1,"Seasonal Management Area (SMA), Dynamic Management Area (DMA), and Slow Zone for North Atlantic right whales","Regardless of vessel size, vessel operators must reduce vessel speed to 10 knots (18.5 mph) or less while operating in any Seasonal Management Area (SMA) and Dynamic Management Area (DMA) or Slow Zone for North Atlantic right whales, unless the vessel is operating in a designated DMA or Slow Zone where right whales have not been detected and it is not reasonable to expect the presence of North Atlantic right whales (e.g., Long Island Sound, shallow harbors).",Export Cables,,
gemini,gemini-1.5-pro,24,C-001,Design Specification,Between 125 and 129 WTGs will be installed.,125,,Appendix B,SWDA,"In total, both phases combined would include up to 132 total foundations for 125 to 129 WTGs and 1 to 5 ESPs to be installed in 130 positions",Wind Turbine Generators,,
gemini,gemini-1.5-pro,24,C-002,Design Specification,Between 1 and 5 ESPs will be installed.,1,,Appendix B,SWDA,"In total, both phases combined would include up to 132 total foundations for 125 to 129 WTGs and 1 to 5 ESPs to be installed in 130 positions",Electrical Service Platforms,,
gemini,gemini-1.5-pro,24,C-003,Design Specification,Up to 130 foundations will be installed.,130,,Appendix B,SWDA,"DOI has decided to approve, with modifications, the COP for New England Wind, adopting the Preferred Alternative... allow for up to 130 foundations for the installation of 125 to 129 WTGs and 1 to 5 ESPs within Lease Area OCS-A 0534 and potentially a portion of OCS-A 0501",Foundations,,
gemini,gemini-1.5-pro,24,C-004,Design Specification,Two export cables will be installed for Phase 1.,2,cables,Appendix B,Eastern OECC in Muskeget Channel,"For Phase 1, two cables would be installed in the Eastern OECC in Muskeget Channel.",Export Cables,,
gemini,gemini-1.5-pro,24,C-005,Design Specification,Three export cables will be installed for Phase 2.,3,cables,Appendix B,"Eastern OECC in Muskeget Channel, Western Variant in Muskeget Channel, and/or the South Coast Variant","For Phase 2, three cables would be installed in various proposed configurations in the Eastern OECC in Muskeget Channel, the Western Variant in Muskeget Channel and/or the South Coast Variant (SCV)",Export Cables,,
gemini,gemini-1.5-pro,24,C-006,Design Specification,Minimum nameplate capacity of 16 MW per WTG.,16,MW,Appendix B,SWDA,This equates to an approximate minimum nameplate capacity of 16 MW per WTG.,Wind Turbine Generators,,
gemini,gemini-1.5-pro,24,C-007,Operational Parameter,Vessel operators must reduce speed to 10 knots or less in Seasonal and Dynamic Management Areas.,10,knots,5.11.1,Seasonal Management Area (SMA) and Dynamic Management Area (DMA),"Regardless of vessel size, vessel operators must reduce vessel speed to 10 knots (18.5 mph) or less while operating in any Seasonal Management Area (SMA) and Dynamic Management Area (DMA)",Grid Interconnection Cables,,
gemini,gemini-1.5-pro,25,C-001,Design Specification,Maximum of 147 WTGs in the Lease Area.,147.0,,3.1,Lease Area,"The Project would have a capacity of up to 2,400 MW and would consist of up to 147 WTGs in the Lease Area",Wind Turbine Generators,,
gemini,gemini-1.5-pro,25,C-002,Design Specification,Maximum of 5 OSPs.,5.0,,3.1,Lease Area,up to 5 OSPs and associated export cables,Offshore Substations,,
gemini,gemini-1.5-pro,25,C-003,Design Specification,Up to six offshore export cables within a corridor 1640-2300 feet wide.,6.0,,,Offshore export cable corridor,"up to six (6) offshore export cables (up to four (4) power cables and up to two (2) communications cables) within a single, 1,640 – 2,300-foot wide, offshore export cable corridor (OECC)",Offshore Export Cables,,
gemini,gemini-1.5-pro,25,C-004,Design Specification,Offshore export cables will travel 124 miles.,124.0,miles,,,will travel a total of 124 miles,Offshore Export Cables,,
gemini,gemini-1.5-pro,25,C-005,Design Specification,WTGs spaced in a 1-by-1 nautical mile offset grid pattern.,1.0,nmi,3.1,Lease Area,SouthCoast Wind would space WTGs in a 1-by-1-nmi offset grid pattern,Wind Turbine Generators,,
gemini,gemini-1.5-pro,25,C-006,Design Specification,Project 1 will include 250 miles of IACs.,250.0,miles,,Lease Area,Project 1 will develop the northeastern portion of the lease area and will include up to 85 WTGs connected by 250 miles of IACs to one (1) OSP,Inter-array Cables,,
gemini,gemini-1.5-pro,25,C-007,Design Specification,Project 2 will include 250 miles of IACs.,250.0,miles,,Lease Area,Project 2 would develop the remainder of the overall project in the southern portion of the lease area and include up to 85 WTGs connected by 250 miles of IACs to one (1) OSP,Inter-array Cables,,
gemini,gemini-1.5-pro,25,C-008,Design Specification,The combined number of WTG and OSP foundations will not exceed 149.,149.0,,,,the total combined number of WTG and OSP foundations across Project 1 and Project 2 will not exceed 149,,,
gemini,gemini-1.5-pro,25,C-009,Environmental Mitigation,Sand bedform removal limited to 5% of the Falmouth export cable route.,5.0,%,5.3.2.1.8,Falmouth export cable route,A description of how sand bedform removal will be limited to the extent required to achieve adequate cable burial depth and will not exceed more than 5% of the Falmouth export cable route.,Offshore Export Cables,,
gemini,gemini-1.5-pro,25,C-010,Safety Standard,Anchoring and buoy placement activities within 500m of sensitive habitats require an Anchoring Plan.,500.0,m,5.3.3,"Within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive","The Lessee must prepare and implement an Anchoring Plan(s) for all areas where anchoring or buoy placement occurs and jack-up barges are used during construction and operations/maintenance within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive",,,
gemini,gemini-1.5-pro,25,C-011,Environmental Mitigation,No Zinc sacrificial anodes on external components of WTG and OSP foundations.,,,5.4.3,WTG and OSP foundations,The Lessee may not use Zinc sacrificial anodes on external components of WTG and OSP foundations.,,,
gemini,gemini-1.5-pro,25,C-012,Safety Standard,"10,000m clearance/shutdown zone for North Atlantic Right Whale (pin foundations), 15,000m (monopile foundations) during pile driving.",10000.0,m,,,"NARW PAM Clearance/ Shutdown Zone|10,000 m (pin), 15,000 m (monopile)",,,
gemini,gemini-1.5-pro,25,C-013,Safety Standard,"4,000m clearance/shutdown zone for Blue, Fin, and Sei Whales during summer, 4,100m during winter (during pile driving).",4000.0,m,,,"Blue, Fin, Sei Whale Clearance/ Shutdown Zone Summer (Winter)|4,000 m (4,100 m)",,,
gemini,gemini-1.5-pro,25,C-014,Safety Standard,200m clearance/shutdown zone for Sea Turtles (during pile driving).,200.0,m,,,Sea Turtles Visual Clearance/ Shutdown Zone|200 m,,,
gemini,gemini-1.5-pro,25,C-015,Safety Standard,"15,000m clearance zone for NARW, Blue, Fin, and Sei Whales during UXO/MEC detonations.",15000.0,m,,,"PAM Clearance Zone*|15,000 m",,,
gemini,gemini-1.5-pro,25,C-016,Safety Standard,"Varying clearance zones for UXO/MEC detonations based on charge weight, species, and location (ECC or WFA).",,,,,Table 5.10 - 2 Clear ance Zones during UXO/MEC Detonations,,,
gemini,gemini-1.5-pro,25,C-017,Operational Parameter,Continuous recording of ambient noise and vocalizations at least 1 year before pile installation.,1.0,year,5.10.1,Lease Area,The Lessee must conduct continuous [14] recording at least 1 year before the start of pile installation,,,
gemini,gemini-1.5-pro,26,C-001,Design Specification,Up to 100 WTGs,100.0,,2.1,Lease Area,The Proposed Action includes up to 100 wind turbine generators (WTGs),Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-002,Design Specification,WTG nameplate capacity ranges from 8 to 12 MW,8.0,MW,2.1,Lease Area,ranging in nameplate capacity of 8 to 12 megawatts (MW),Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-003,Design Specification,Minimum total nameplate capacity of 704 MW,704.0,MW,2.1,Lease Area,"sufficient to fulfill, at a minimum, the three existing power purchase agreements (PPAs) (totaling a nameplate capacity of 704 MW)",Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-004,Design Specification,Maximum potential nameplate capacity of 880 MW,880.0,MW,2.1,Lease Area,with a potential nameplate capacity of up to 880 MW,Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-005,Design Specification,1 x 1 nautical mile spacing between WTGs,1.0,nm,2.1,Lease Area,a uniform east-west and north-south grid of 1 × 1-nm spacing between WTGs,Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-006,Design Specification,WTG micrositing allowed within 500 feet of proposed location,500.0,feet,2.1,500 feet from each proposed WTG location,micrositing of WTG foundations may occur within 500 feet from each proposed WTG location,Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-007,Design Specification,Export cables buried below seafloor,,,2.1,OCS and Rhode Island state waters,The Proposed Action includes the burial of offshore export cables below the seafloor in both the OCS and Rhode Island state waters,Submarine export cables,,
gemini,gemini-1.5-pro,26,C-008,Design Specification,Each OSS has a maximum nominal capacity of 440 MW,440.0,MW,2.1,Offshore Substations,Each OSS has a maximum nominal capacity of 440 MW,Offshore Substations,,
gemini,gemini-1.5-pro,26,C-009,Safety Standard,Clearance and shutdown zones for pile driving (May to November),,,5.11.5,Around each foundation pile,The clearance and shutdown zones for May to November are defined in the table below (numbers in parentheses are distances for December).,Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-010,Safety Standard,"Minimum visibility of 2,300 meters (May to November) and 4,400 meters (December) required before clearance procedures",2300.0,meters,5.11.5,Area around each foundation pile,"The clearance procedures cannot begin until the lead PSO has determined that there is minimum visibility of at least 2,300 meters from May to November and 4,400 meters in December.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-011,Environmental Mitigation,Visual monitoring of the area where noise may exceed 175 dB rms for sea turtles,175.0,dB rms,5.11.5,Area around each foundation pile,"Additionally, the Lessee must visually monitor the full extent of the area where noise may exceed the 175 decibel rms threshold for sea turtles for the full duration of all pile driving activities and for 30 minutes following the cessation of pile driving activities and record all observations in order to ensure that all take that occurs is documented.",Wind Turbine Generators,,
gemini,gemini-1.5-pro,26,C-012,Design Specification,Project easement for each export cable passes through approximately 13.6 statute miles on the OCS,13.6,statute miles,2,OCS,The requested Project easement for each cable would pass through approximately 13.6 statute miles on the OCS.,Submarine export cables,,
gemini,gemini-1.5-pro,26,C-013,Design Specification,Export cable passes through approximately 21.8 statute miles of state waters,21.8,statute miles,2,Rhode Island state waters,The remainder of the RWEC would pass through approximately 21.8 statute miles of state waters.,Submarine export cables,,
gemini,gemini-1.5-pro,26,C-014,Design Specification,Total export cable length is approximately 35.4 statute miles,35.4,statute miles,2,From Lease OCS-A 0486 to shore,"The total length, from Lease OCS-A 0486 to shore, would measure approximately 35.4 statute miles.",Submarine export cables,,
gemini,gemini-1.5-pro,27,C-001,Design Specification,Two FLiDAR buoys will be deployed.,2.0,buoys,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of two floating light detection and ranging buoys (FLiDARs),RPS FLiDAR Buoy,,
gemini,gemini-1.5-pro,27,C-002,Design Specification,One metocean buoy will be deployed.,1.0,buoy,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of ... one metocean buoy,RPS Wave and Met Buoy,,
gemini,gemini-1.5-pro,27,C-003,Design Specification,One subsurface current meter mooring will be deployed.,1.0,mooring,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of ... one subsurface current meter mooring,CM/CT Mooring,,
gemini,gemini-1.5-pro,27,C-004,Operational Parameter,FLiDAR buoys will be decommissioned after two years of operation.,2.0,years,3.1,Lease Area,The two RPS FLiDAR Buoys are scheduled to be decommissioned at the end of their two-year operational life,RPS FLiDAR Buoy,,
gemini,gemini-1.5-pro,27,C-005,Operational Parameter,The Wave and Met Buoy will be decommissioned after four years.,4.0,years,3.1,Lease Area,the Met and Wave Buoy ... will be decommissioned at the end of four years.,RPS Wave and Met Buoy,,
gemini,gemini-1.5-pro,27,C-006,Operational Parameter,The CM/CT mooring will be decommissioned after four years.,4.0,years,3.1,Lease Area,the ... CM/CT mooring will be decommissioned at the end of four years.,CM/CT Mooring,,
gemini,gemini-1.5-pro,27,C-007,Design Specification,The FLiDAR buoy hull is 15.2 feet in diameter.,15.2,feet,3.1,Lease Area,The 5005-grade H34 aluminum superstructure is powder coated and measures 15.2 feet (ft) (4.63 meters [m]) in diameter.,RPS FLiDAR Buoy,,
gemini,gemini-1.5-pro,27,C-008,Design Specification,"The FLiDAR buoy weighs 9,480 pounds.",9480.0,pounds,3.1,Lease Area,"The weight of the entire buoy including all electronics and keel is 9,480 pounds (lbs) (4,300kilograms [kg]) (4.3 metric tons).",RPS FLiDAR Buoy,,
